,Incumbent,Name,Office,Party,Percent,Won,Year,CF_ID,Committee_Name,Individual,sub_100,Candidate_Committee,Ind_DE,Self,PAC,National_Sub_Committees,Contrib_Total,Candidate Expenses,Contributions,Field Expenses,Fund Raiser,Mail,Media,Printing and Campaign Materials,Rent and Other Office expenses,Salaries and Other compensation,smol,Expend_Total
26,1,STEPHANIE T BOLDEN,STATE REPRESENTATIVE DISTRICT 2,D,100.0,1.0,2018.0,1000078,Friends Of Stephanie T. Bolden,3600.0,3600.0,1200.0,9600.0,2000.0,12050.0,0.0,32050.0,0.0,1100.0,1596.72,4135.049999999999,3208.5,8818.47,4669.12,495.39,2158.0,630.8299999999999,26812.08000000001
27,0,SHERRY DORSEY WALKER,STATE REPRESENTATIVE DISTRICT 3,D,100.0,1.0,2018.0,1004443,Dorsey Walker for DE,200.0,1515.0,1200.0,9825.0,0.0,9650.0,0.0,22390.0,0.0,0.0,1939.5199999999998,897.3800000000001,0.0,985.38,3560.81,0.0,1000.0,175.72,8558.81
28,1,GERALD L BRADY,STATE REPRESENTATIVE DISTRICT 4,D,100.0,1.0,2018.0,1001020,People For Brady,0.0,2025.0,150.0,6500.0,0.0,6925.0,0.0,15600.0,856.0,0.0,2140.63,2410.0,2341.04,875.0,8831.779999999999,945.0,0.0,545.0,18944.45
29,0,KENDRA JOHNSON,STATE REPRESENTATIVE DISTRICT 5,D,100.0,1.0,2018.0,1004213,Friends of Kendra Johnson,2600.0,1940.0,600.0,2250.0,3500.0,3500.0,0.0,14390.0,905.0,0.0,150.0,171.96,4616.14,4937.05,5552.5,0.0,0.0,238.12,16570.77
30,1,DEBRA HEFFERNAN,STATE REPRESENTATIVE DISTRICT 6,D,65.32,1.0,2018.0,1002175,Friends for Debra Heffernan,3250.0,5461.0,3600.0,4425.0,0.0,16375.0,0.0,33111.0,905.0,4550.0,521.65,3245.3999999999996,4201.88,23576.260000000002,21870.0,1060.2299999999998,0.0,0.0,59930.42
31,0,JEFFREY L OLMSTEAD,STATE REPRESENTATIVE DISTRICT 6,R,34.68,0.0,2018.0,1004420,Friends of Jeff Olmstead,1900.0,4635.0,400.0,10928.25,1000.0,5572.12,0.0,24435.37,0.0,0.0,760.2,131.59,4474.099999999999,1831.6,10347.26,1579.3799999999999,125.0,0.0,19249.129999999994
32,0,RAYMOND SEIGFRIED,STATE REPRESENTATIVE DISTRICT 7,D,62.92,1.0,2018.0,1004353,Committee to elect Ray Seigfried,2500.0,5364.38,1300.0,5188.98,14145.0,13350.0,0.0,41848.36,905.0,0.0,355.44,686.02,4635.48,237.25,7976.119999999999,470.41999999999996,400.0,0.0,15665.729999999998
33,0,ERIC BRAUNSTEIN,STATE REPRESENTATIVE DISTRICT 7,R,35.44,0.0,2018.0,1004390,Friends of Eric Braunstein,700.0,1735.0,600.0,4400.0,11358.73,3800.0,0.0,22593.73,0.0,0.0,0.0,73.34,2500.0,592.16,10919.849999999999,7.18,0.0,0.0,14092.529999999999
34,0,SCOTT GESTY,STATE REPRESENTATIVE DISTRICT 7,O,1.64,0.0,2018.0,1004387,Scott Gesty for Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,191.0
35,1,S QUINTON JOHNSON,STATE REPRESENTATIVE DISTRICT 8,D,62.94,1.0,2018.0,1001763,Friends of Quinn Johnson,1325.0,1500.0,600.0,4075.0,0.0,14825.0,0.0,22325.0,905.0,4825.0,343.24,1520.1,932.0,10654.49,4849.09,660.5,0.0,200.0,24889.420000000002
36,0,DANIEL ZITOFSKY,STATE REPRESENTATIVE DISTRICT 8,R,35.78,0.0,2018.0,1004423,Friends for Dan Zitofsky,7235.499999999999,2147.2999999999997,900.0,7533.3,0.0,3700.0,0.0,21516.1,0.0,70.0,850.6,1264.0400000000002,12554.0,559.3800000000001,4545.8099999999995,150.0,0.0,0.0,19993.829999999998
37,0,CODY MCNUTT,STATE REPRESENTATIVE DISTRICT 8,O,1.28,0.0,2018.0,1004434,Commitee to Elect Cody McNutt,0.0,0.0,0.0,582.3,0.0,0.0,0.0,582.3,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,1300.0
38,1,KEVIN S HENSLEY,STATE REPRESENTATIVE DISTRICT 9,R,58.7,1.0,2018.0,1003129,Friends of Kevin Hensley,4300.0,4400.0,0.0,27975.0,0.0,0.0,0.0,36675.0,0.0,1550.0,0.0,2225.0,3498.71,5068.0,10700.22,735.0,0.0,0.0,23776.93
39,0,MONIQUE JOHNS,STATE REPRESENTATIVE DISTRICT 9,D,41.3,0.0,2018.0,1003800,Monique Johns,900.0,1300.0,1900.0,2850.0,0.0,3700.0,1200.0,11850.0,0.0,0.0,0.0,616.0,19.66,7350.9,1680.0,47.08,0.0,117.51,9831.15
40,1,SEAN MATTHEWS,STATE REPRESENTATIVE DISTRICT 10,D,68.69,1.0,2018.0,1002578,Friends of Sean Matthews,400.0,2200.0,2050.0,3495.0,0.0,12750.0,0.0,20895.0,0.0,0.0,0.0,575.0,22676.519999999997,0.0,6490.55,0.0,0.0,0.0,29742.07
41,0,ERIN L WIENNER,STATE REPRESENTATIVE DISTRICT 10,R,31.31,0.0,2018.0,1004135,Friends of Erin Wienner,0.0,5394.25,1800.0,5675.0,10462.74,5068.47,0.0,28400.46,905.0,2110.0,597.52,3830.3399999999997,750.0,4594.990000000001,12624.019999999997,798.5099999999999,3002.98,0.0,29213.360000000004
42,1,JEFFREY N SPIEGELMAN,STATE REPRESENTATIVE DISTRICT 11,R,65.22,1.0,2018.0,1002700,Friends for Jeff Spiegelman,1200.0,3770.0,0.0,2900.0,0.0,10125.0,0.0,17995.0,905.0,2310.0,3386.26,1162.04,739.5,9009.529999999999,3339.05,0.0,0.0,256.54,21107.920000000002
43,0,PAUL A THORNBURG,STATE REPRESENTATIVE DISTRICT 11,D,34.78,0.0,2018.0,1004455,Paul Nielsen,0.0,180.96,0.0,200.0,1707.29,11100.0,0.0,13188.249999999998,0.0,0.0,150.0,127.32,4450.0,287.47,3986.4700000000003,0.0,0.0,99.96000000000001,9101.22
44,0,KRISTA GRIFFITH,STATE REPRESENTATIVE DISTRICT 12,D,53.14,1.0,2018.0,1004153,Krista Griffith For Delaware,5140.0,17758.89,2000.0,23721.7,50376.5,14700.0,0.0,113697.09,905.0,600.0,1666.3700000000001,4331.219999999999,15930.859999999999,46463.81999999999,22725.77,1208.77,0.0,0.0,93831.81000000004
45,1,DEBORAH D HUDSON,STATE REPRESENTATIVE DISTRICT 12,R,46.86,0.0,2018.0,1000039,Hudson Campaign Committee,1200.0,5868.3,500.0,9200.0,0.0,14700.0,600.0,32068.3,905.0,3970.0,1194.04,3021.08,11400.57,24725.63,13208.65,4766.169999999997,0.0,62.78,63253.92
46,1,JOHN L MITCHELL JR,STATE REPRESENTATIVE DISTRICT 13,D,100.0,1.0,2018.0,1001316,FRIENDS OF LARRY MITCHELL,800.0,1900.0,0.0,800.0,0.0,3970.0,0.0,7470.0,0.0,1200.0,300.0,3635.0,0.0,1610.78,1455.0,410.0,0.0,0.0,8610.779999999999
47,1,PETER C SCHWARTZKOPF,STATE REPRESENTATIVE DISTRICT 14,D,62.46,1.0,2018.0,1000275,Friends for Pete Schwartzkopf,4400.0,1375.0,800.0,17050.010000000002,0.0,24725.0,0.0,48350.01,905.0,14470.0,2646.8599999999997,6656.0,5916.0,16045.460000000001,4606.26,6488.2,0.0,6837.7300000000005,64571.50999999999
48,0,JAMES L DEMARTINO,STATE REPRESENTATIVE DISTRICT 14,R,37.54,0.0,2018.0,1003760,Committee to Elect James DeMartino,800.0,2585.0,600.0,6075.0,0.0,2548.06,0.0,12608.06,0.0,0.0,333.47,113.8,794.0,884.82,5992.24,1207.41,0.0,0.0,9325.739999999998
